iter	TotalF1	MultiClass
341	0.9584491594	0.1592528869
342	0.9584491594	0.1592046493
343	0.9584491594	0.1590820404
344	0.9583382166	0.1587608145
345	0.9583382166	0.1586665198
346	0.9583382166	0.1585803187
347	0.9583382166	0.1585043844
348	0.9583382166	0.1583602136
349	0.9583382166	0.1582922377
350	0.9583382166	0.1581841376
351	0.9583376356	0.1580515263
352	0.9583376356	0.1579054378
353	0.9583376356	0.1578113225
354	0.9582261093	0.1577071421
355	0.9582261093	0.1576050849
356	0.9583370513	0.157346966
357	0.9582261093	0.1572378174
358	0.9582261093	0.1571268289
359	0.9583376356	0.1569868775
360	0.9585608464	0.1568494206
361	0.9585608464	0.1567532565
362	0.9585614273	0.1566809024
363	0.9584499226	0.1565756886
364	0.9585608464	0.1563812919
365	0.9583377923	0.1561123056
366	0.9585602615	0.1559678758
367	0.9585602615	0.1557855616
368	0.9585602615	0.1556678558
369	0.9586717627	0.1553331225
370	0.9586717627	0.1552345452
371	0.9586717627	0.1546802144
372	0.9587832923	0.1542287008
373	0.9587832923	0.154172534
374	0.9587832923	0.1541101747
375	0.9588940232	0.1540138173
376	0.9587825202	0.1539025796
377	0.9587825202	0.1538320201
378	0.9587825202	0.1536706617
379	0.9587825202	0.1534982749
380	0.9587825202	0.1533531098
381	0.9587825202	0.1530478815
382	0.9587820535	0.1528693772
383	0.9587820535	0.1527782226
384	0.9587825202	0.1526919123
385	0.9587825202	0.1525623224
386	0.9587825202	0.1525103952
387	0.9587825202	0.1524095785
388	0.9588935616	0.1522778001
389	0.9588935616	0.1517925252
390	0.9590050655	0.1517342736
391	0.9590050655	0.1516822894
392	0.9590050655	0.1514403611
393	0.9590056503	0.1511851821
394	0.959117156	0.1509947818
395	0.959117156	0.150879659
396	0.9590056503	0.1506122836
397	0.9591163711	0.1505249522
398	0.9592278777	0.1503257056
399	0.9592278777	0.1502004542
400	0.9592278777	0.1500516602
401	0.9592278777	0.1498986159
402	0.9591163711	0.1495486261
403	0.9591163711	0.1494575324
404	0.9592271042	0.149335143
405	0.9592271042	0.1491702684
406	0.9592271042	0.149070799
407	0.9592271042	0.1489964708
408	0.9592271042	0.1488846437
409	0.9592271042	0.1487202884
410	0.9592271042	0.1486182426
411	0.9593385495	0.1483312108
412	0.9593385495	0.1482500805
413	0.9594496995	0.1481824454
414	0.9593382312	0.1478132182
415	0.9593382312	0.1477525959
416	0.9594496995	0.1476884934
417	0.9594496995	0.1475492341
418	0.9594496995	0.1474735043
419	0.9594496995	0.1473278172
420	0.9594496995	0.1472381394
421	0.9594496995	0.1471399248
422	0.9594496995	0.147100458
423	0.9594496995	0.1470247053
424	0.9595594611	0.1468714457
425	0.9595594611	0.1467393205
426	0.9595594611	0.1466232855
427	0.9595594611	0.1463251955
